Name;Address;Rating;Reviews;Category;Hours;Website;Phone
Sauvignon Restaurant;Kılınçarslan, Hesapçı Sk. No:72, 07100 Muratpaşa/Antalya;4,7;;Balık Restoranı;Kapalı · Açılış zamanı: 11:30;https://sauvignonrestaurant.com/;0544 255 02 65
Pastorale restaurant;Kılınçarslan, Hıdırlık Sk. No:37, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 08:00;http://www.instagram.com/pastoralerestoran;0544 362 65 56
Hare Restaurant;Barbaros, Hesapçı Sk. No:9, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 08:00;https://www.belmondosuites.com/restaurant_detail/Hare-Restaurant;0541 906 98 21
Vanilla Restaurant | Old Town Restaurants | Restaurants Antalya;Barbaros, Hesapçı Sk. No:33, 07100 Muratpaşa/Antalya;4,5;;Restoran;Kapalı · Açılış zamanı: 11:30;http://www.vanillaantalya.com/;(0242) 247 60 13
Çömlekçi Restaurant;Kızılsaray, Güllük Cd. No:48 D:B, 07000 Muratpaşa/Antalya;4,8;;Restoran;Açık · Kapanış saati: 03:00 · Yeniden açılış saati: 09:00;https://comlekcirestaurant.com/;0532 377 69 01
Chiaro Garden Fish & Steak Restaurant;Barbaros Mahallesi Kocatepe Sokak, Kaleiçi No: 14, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 12:30 11 hafta önce bu işletme tarafından güncellendi;https://chiarogardenrestaurant.com/;0542 422 30 92
Grand Friends Fish & Steak Restaurant;Selçuk, İzmir'li Ali Efendi Sokak No:27 kat 1, 07100 Muratpaşa/Antalya;4,7;;Restoran;Kapalı · Açılış zamanı: 10:00;;0531 858 05 08
Terrace Steak House Restaurant;Kemerağzı Yeni Turizm Yolu Lara Doğakent Sitesi 5, 07112 Aksu/Antalya;4,7;;Biftek restoranı;Açık · Kapanış saati: 02:30 · Yeniden açılış saati: 09:00;;0530 513 32 34
Vahap Usta Et Restaurant;Gürsu, Atatürk Blv. No:160, 07070 Konyaaltı/Antalya;4,4;;Et Yemekleri Restoranı;Kapalı · Açılış zamanı: 10:00;;(0242) 229 51 51
Ayar Meyhanesi;Kılınçarslan, Hesapçı Sk. No:59, 07100 Muratpaşa/Antalya;4,6;;Türk restoranı;Kapalı · Açılış zamanı: 12:00;http://www.ayarmeyhanesi.com/;0530 117 29 27
The Grill House;Kuşkavağı, Akdeniz Blv. No:116, 07070 Konyaaltı/Antalya;4,4;;Restoran;Kapalı · Açılış zamanı: 12:00;https://www.thegrillhouse.com.tr/;(0242) 229 86 86
Old Town Restaurant 07;Kaleiçi, Tuzcular, 2. İnönü Sk. No:43, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 10:00;;0535 388 18 69
LUNA GARDEN;Barbaros, Kocatepe Sk. No:4, 07000 Muratpaşa/Antalya;4,4;;Restoran;Kapalı · Açılış zamanı: 09:00;http://www.lunagarden.com.tr/;(0242) 241 61 62
Dikkat Et;No:40, Barbaros, Atatürk Cd. No:40/1, 07100 Muratpaşa/Antalya;4,7;;Et Yemekleri Restoranı;Kapalı · Açılış zamanı: 11:00;;
Pio Gastro Bar & Bistro;Tuzcular, Karanlık Sk. No:9, 07100 Muratpaşa/Antalya;4,2;;Restoran;Kapalı · Açılış zamanı: 16:00;http://www.piogastrobistro.com/;(0242) 247 60 15
Mandjie Gastro Bar & Restaurant;kılınçarslan mahallesi yeni kapı sokak, Kaleiçi No:27, 07100 Muratpaşa/Antalya;4,8;;Bistro;Kapalı · Açılış zamanı: 16:00;http://mandjieantalya.com/;0533 672 49 79
Seraser Fine Dining Restaurant;Selçuk, Paşa Cami Sk. No:14, 07100 Muratpaşa/Antalya;4,3;;Kaliteli yemek restoranı;Kapalı · Açılış zamanı: 16:00;http://www.seraserrestaurant.com/;(0242) 247 60 15
Belforno Restaurant;Barbaros, Hesapçı Sk. No:25, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 12:00;http://www.belmondosuites.com/;0546 908 93 07
CASTLE CAFE & RESTORANT;Kılınçarslan, Hıdırlık Sk. No:46, 07100 Muratpaşa/Antalya;4,1;;Restoran;Kapalı · Açılış zamanı: 10:30;https://www.facebook.com/castlebistro;(0242) 248 65 94
Baba Mutfağı Ev Yemekleri;Haşimişcan, Sinan, 1251. Sk. No:24, 07100 Muratpaşa/Antalya;4,9;;Restoran;Kapalı · Açılış zamanı: 11:30 Diğer saatlere bakın;;0541 133 40 41
The Wall Antalya;Altınkum, Akdeniz Blv. No:176 / D, 07070 Konyaaltı/Antalya;4,5;;Bar;Kapanmak üzere · 02:00 · Tekrar açılış saati: 12:00;;0507 392 21 60
Baba Mutfağı Ev Yemekleri;Haşimişcan, Sinan, 1251. Sk. No:24, 07100 Muratpaşa/Antalya;4,9;;Restoran;Kapalı · Açılış zamanı: 11:30 Diğer saatlere bakın;;0541 133 40 41
Order Lounge Cafe&Bistro;Bahçelievler, Konyaaltı Cd., 07050 Muratpaşa/Antalya;3,9;;Bistro;Kapalı · Açılış zamanı: 08:00;http://www.order.com.tr/;(0242) 248 05 06
Sunset view restaurant & bar;Gençlik, 1311. Sk., 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 09:00;https://sunsetview.com.tr/;0554 022 62 00
SALAŞ BALIK & RESTORANT;Gürsu, Gazi Mustafa Kemal Blv. NO:9/A, 07070 Konyaaltı/Antalya;4,8;;Balık Restoranı;Kapalı · Açılış zamanı: 12:00;;0507 767 04 05
RAGIP. STEAK.FISH.HOUSE;Tuzcular mah.2 inonu cad Şemsiyeli sokak, 07100 Muratpaşa/Antalya;4,9;;Biftek restoranı;Kapalı · Açılış zamanı: 11:00;;0542 582 44 49
Balıkçı Meyhanesi Kaleiçi;Kılınçarslan, Hıdırlık Sk. No:17, 07100 Muratpaşa/Antalya;4,8;;Restoran;Kapalı · Açılış zamanı: 11:00;;0542 220 09 68
Bombay Masala Indian Restaurant Antalya;Tuzcular, 2. İnönü Sk. No:4, 07100 Muratpaşa/Antalya;4,5;;Hint restoranı;Kapalı · Açılış zamanı: 11:30;http://www.bombaymasalaantalya.com/;(0242) 244 50 54
Yelken Kafe & Restoran;Selçuk, Varyant Sk. No:6, 07100 Muratpaşa/Antalya;4,6;;Restoran;Kapalı · Açılış zamanı: 09:00;;
Yemenli Meyhanesi;Kaleiçi, Kılınçarslan, Zeytin Sk. No:16, 07100 Muratpaşa/Antalya;4,3;;Restoran;Kapalı · Açılış zamanı: 11:00;http://www.kaleiciyemenli.com/;0505 758 80 88
FATMA SULTAN RESTAURANT (TÜRK MUTFAĞI);Haşimişcan, Arık Cd. no:20, 07100 Muratpaşa/Antalya;4,5;;Kaliteli yemek restoranı;Kapalı · Açılış zamanı: 09:00;http://www.fatmasultanrestaurant.com/;0530 254 16 80
Kaleiçi Meyhanesi;Selçuk, Balıkpazarı Sk. No:14, 07100 Muratpaşa/Antalya;4,3;;Meyhane;Kapalı · Açılış zamanı: 15:00;http://www.kaleicimeyhanesi.menuantalya.com/;0545 639 42 63
